date,symbol,open,high,low,close,target,signal,temp_fc_d_minus1,temp_fc_d,temp_ac_d_plus1,temp_sn_d_minus1,temp_sn_d,temp_sn_d_plus1,CompositeWeatherVariableForecastLDZ(NW),CompositeWeatherVariableForecastLDZ(SC),CompositeWeatherVariableForecastLDZ(SE),WeatherCorrectionFactorForecast(NW),WeatherCorrectionFactorForecast(SC),WeatherCorrectionFactorForecast(SE),closing_linepack_actual,opening_linepack_actual,linepack_hourly_agg_d_plus1,predicted_closing_linepack,demand_cold,demand_warm,demand_actual_ntsd_plus1,demand_forecast_confidence_interval,demand_forecast_nts,demand_ntssn,demand_diff,demand_avg,demand_forecast_error,demand_nts_spread,HDD,CDD,demand_lag1,demand_lag7,dow,dow_0,dow_1,dow_2,dow_3,dow_4,dow_5,dow_6,is_weekend,friday_startup,sin7,cos7,is_holiday,temp_dev_fc_minus1,temp_dev_fc,temp_dev_fc_plus1,lp_closing_diff,lp_closing_pred_error,combo_signal,portfolio
2024-07-02,SAP,2.6997,2.6997,2.6997,1.4357,0.03329386362053355,1,14.138,14.0777,14.1477,14.67,14.67,14.67,13.07,12.65,14.86,-0.96,-0.89,-0.45,328.33667944310884,327.9531668828371,328.16,327.6306524065467,128.220475987364,100.984008157273,1014508723.0,9.24,153.09526309570927,199.517448754545,-27.236467830091016,114.6022420723185,1014508569.9047369,-46.42218565883573,50.9223,0.0,1.3914,1.7316,1,False,True,False,False,False,False,False,0,0.0,0.7818314824680298,0.6234898018587336,0,-0.532,-0.5922999999999998,-0.5222999999999995,0.38351256027175396,0.7060270365621477,1,1.0
2024-07-03,SAP,2.59,2.59,2.59,1.4835,0.005797101449275255,1,13.9523,13.9552,14.0255,14.7,14.7,14.7,12.97,12.15,14.82,-1.09,-1.44,-0.51,325.48117094420144,328.33667944310884,325.41,326.3396839153901,128.140047288182,101.347642520364,1072739949.0,9.24,154.86975079184413,199.582943218182,-26.792404767817985,114.743844904273,1072739794.1302493,-44.71319242633788,51.0448,0.0,1.4357,1.5867,2,False,False,True,False,False,False,False,0,0.0,0.9749279121818236,-0.22252093395631434,0,-0.7477,-0.7447999999999997,-0.6745000000000001,-2.8555084989073976,-0.8585129711886452,1,1.0332938636205335
2024-07-04,SAP,2.6633,2.6633,2.6633,1.4921,0.007104081495878267,1,13.9387,13.9791,14.0715,14.73,14.73,14.73,13.0,11.57,14.94,-1.1,-2.06,-0.42,327.12467985952907,325.48117094420144,327.25,327.8942646497904,127.431911730545,101.388993556364,962969400.0,9.24,147.03056988508254,199.173905009091,-26.042918174180997,114.4104526434545,962969252.9694301,-52.143335124008445,51.0209,0.0,1.4835,1.7361,3,False,False,False,True,False,False,False,0,0.0,0.43388373911755823,-0.900968867902419,1,-0.7912999999999997,-0.7508999999999997,-0.6585000000000001,1.6435089153276294,-0.7695847902613195,1,1.0392839729748553
2024-07-05,SAP,2.623,2.623,2.623,1.5027,0.037732082251946464,1,14.1187,14.1489,14.2119,14.76,14.76,14.76,13.37,12.12,14.97,-0.76,-1.55,-0.41,327.5406639290675,327.12467985952907,327.34,327.8597160252548,122.761726155636,97.2408715189091,1006400928.0,9.24,152.46461650440813,194.603551918182,-25.520854636726895,110.00129883727254,1006400775.5353835,-42.13893541377388,50.8511,0.0,1.4921,1.7475,4,False,False,False,False,True,False,False,0,0.5,-0.433883739117558,-0.9009688679024191,0,-0.6412999999999993,-0.6111000000000004,-0.5480999999999998,0.4159840695384105,-0.31905209618730623,1,1.0466671310162288
2024-07-06,SAP,2.5941,2.5941,2.5941,1.5594,0.0027574708221111965,1,13.8197,13.8319,13.9041,14.78,14.78,14.78,12.86,12.75,14.41,-1.29,-0.94,-0.98,328.1092215904525,327.5406639290675,327.84,328.5424434022983,114.121737137727,90.3703275927273,1081594886.0,9.24,155.0871022252566,187.007203790909,-23.75140954499969,102.24603236522715,1081594730.9128978,-31.920101565652402,51.1681,0.0,1.5027,1.7368,5,False,False,False,False,False,True,False,1,0.0,-0.9749279121818236,-0.2225209339563146,0,-0.9603000000000002,-0.9481000000000002,-0.8758999999999997,0.5685576613850003,-0.43322181184583997,1,1.086160061294142
2024-07-07,SAP,2.606,2.606,2.606,1.5637,-0.00837756602928963,0,13.8402,13.8823,13.9323,14.8,14.8,14.8,12.93,12.97,14.47,-1.26,-0.75,-0.94,329.31372289168905,328.1092215904525,328.85,329.51483082464074,112.557043759364,89.6339113129091,1044024231.0,9.24,156.62752132268304,185.891934181818,-22.9231324464549,101.09547753613656,1044024074.3724787,-29.26441285913495,51.1177,0.0,1.5594,1.6111,6,False,False,False,False,False,False,True,1,0.0,-0.7818314824680299,0.6234898018587334,0,-0.9598000000000013,-0.9177,-0.867700000000001,1.2045013012365757,-0.20110793295168605,1,1.089155115971303
2024-07-08,SAP,2.6267,2.6267,2.6267,1.5506,-0.02592544821359477,0,14.1123,14.1297,14.1714,14.82,14.82,14.82,13.57,13.29,14.59,-0.64,-0.44,-0.83,329.4374646445796,329.31372289168905,328.42,331.4226493317168,125.572363618727,101.777208793818,1177777873.0,9.24,167.6237372083485,198.210934554545,-23.79515482490899,113.6747862062725,1177777705.376263,-30.58719734619649,50.8703,0.0,1.5637,1.3914,0,True,False,False,False,False,False,False,0,0.0,0.0,1.0,0,-0.7077000000000009,-0.6903000000000006,-0.6486000000000001,0.12374175289056666,-1.9851846871371777,1,1.080030647071115
2024-07-09,SAP,2.4873,2.4873,2.4873,1.5104,-0.07269597457627108,0,14.3608,14.3115,14.3746,14.83,14.83,14.83,13.87,12.87,14.88,-0.35,-0.87,-0.55,328.87123723902323,329.4374646445796,327.94,329.3553262019765,124.781633136364,101.438216792273,1096742343.0,9.24,161.0748574022269,197.721364527273,-23.343416344090997,113.1099249643185,1096742181.9251425,-36.6465071250461,50.6885,0.0,1.5506,1.4357,1,False,True,False,False,False,False,False,0,0.0,0.7818314824680298,0.6234898018587336,0,-0.4692000000000007,-0.5184999999999995,-0.4554000000000009,-0.5662274055563898,-0.4840889629532512,1,1.0520303684613774
2024-07-10,SAP,2.4446,2.4446,2.4446,1.4006,0.014422390404112528,1,14.4635,14.4754,14.5282,14.84,14.84,14.84,13.83,13.34,15.13,-0.41,-0.4,-0.31,329.10152176306565,328.87123723902323,329.03,330.31682782733844,124.513808965273,101.618283998727,1083845198.0,9.24,158.07398253457606,197.7522205,-22.895524966546006,113.06604648199999,1083845039.9260175,-39.67823796542393,50.5246,0.0,1.5104,1.4835,2,False,False,True,False,False,False,False,0,0.0,0.9749279121818236,-0.22252093395631434,0,-0.37650000000000006,-0.36459999999999937,-0.31179999999999986,0.23028452404241762,-1.215306064272795,1,0.975551995542244
2024-07-11,SAP,2.4555,2.4555,2.4555,1.4208,0.06348536036036023,1,14.4343,14.4045,14.4554,14.86,14.86,14.86,13.4,13.39,15.46,-0.86,-0.37,0.01,329.44824138517686,329.10152176306565,328.34,329.34528862990965,124.476115379909,102.027523339636,1229304422.0,9.24,171.42207899524453,197.8619313,-22.448592040273,113.2518193597725,1229304250.577921,-26.439852304755476,50.5955,0.0,1.4006,1.4921,3,False,False,False,True,False,False,False,0,0.0,0.43388373911755823,-0.900968867902419,0,-0.4256999999999991,-0.4554999999999989,-0.4046000000000003,0.346719622111209,0.1029527552672107,1,0.9896217872814653
