date,market_regime
2024-07-11,Low Vol / Uptrend
2024-07-12,Low Vol / Uptrend
2024-07-13,Low Vol / Uptrend
2024-07-14,Low Vol / Downtrend
2024-07-15,High Vol / Uptrend
2024-07-16,High Vol / Uptrend
2024-07-17,High Vol / Uptrend
2024-07-18,High Vol / Uptrend
2024-07-19,High Vol / Uptrend
2024-07-20,High Vol / Uptrend
2024-07-21,High Vol / Uptrend
2024-07-22,High Vol / Uptrend
2024-07-23,High Vol / Uptrend
2024-07-24,High Vol / Uptrend
2024-07-25,Low Vol / Uptrend
2024-07-26,Low Vol / Uptrend
2024-07-27,Low Vol / Uptrend
2024-07-28,Low Vol / Uptrend
2024-07-29,Low Vol / Uptrend
2024-07-31,High Vol / Downtrend
2024-08-01,High Vol / Downtrend
2024-08-02,High Vol / Downtrend
2024-08-03,High Vol / Downtrend
2024-08-04,High Vol / Downtrend
2024-08-07,High Vol / Downtrend
2024-08-08,High Vol / Downtrend
2024-08-09,High Vol / Downtrend
2024-08-10,High Vol / Downtrend
2024-08-11,High Vol / Downtrend
2024-08-12,Low Vol / Downtrend
2024-08-13,Low Vol / Downtrend
2024-08-14,Low Vol / Downtrend
2024-08-15,High Vol / Uptrend
2024-08-16,High Vol / Uptrend
2024-08-17,High Vol / Uptrend
2024-08-18,High Vol / Uptrend
2024-08-19,Low Vol / Uptrend
2024-08-20,Low Vol / Uptrend
2024-08-21,Low Vol / Uptrend
2024-08-22,Low Vol / Uptrend
2024-08-23,Low Vol / Uptrend
2024-08-24,Low Vol / Uptrend
2024-08-25,Low Vol / Uptrend
2024-08-26,Low Vol / Uptrend
2024-08-27,Low Vol / Uptrend
2024-08-28,Low Vol / Uptrend
2024-08-29,Low Vol / Downtrend
2024-08-30,Low Vol / Downtrend
2024-08-31,Low Vol / Downtrend
2024-09-01,Low Vol / Downtrend
2024-09-02,Low Vol / Downtrend
2024-09-03,Low Vol / Downtrend
2024-09-04,Low Vol / Downtrend
2024-09-05,Low Vol / Downtrend
2024-09-06,Low Vol / Downtrend
2024-09-07,Low Vol / Downtrend
2024-09-08,Low Vol / Downtrend
2024-09-09,Low Vol / Downtrend
2024-09-10,Low Vol / Uptrend
2024-09-11,Low Vol / Uptrend
2024-09-12,Low Vol / Uptrend
2024-09-13,Low Vol / Uptrend
2024-09-14,Low Vol / Uptrend
2024-09-15,Low Vol / Uptrend
2024-09-16,Low Vol / Uptrend
2024-09-17,Low Vol / Downtrend
2024-09-18,Low Vol / Uptrend
